Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 Egzaminas
Vardas1 Pavarde1 2 3 3 2 9 1 4 7 7 4
Vardas2 Pavarde2 5 4 10 5 10 7 5 3 6 3
Vardas3 Pavarde3 6 6 4 1 9 1 1 9 9 4
Vardas4 Pavarde4 2 8 3 7 9 8 7 2 8 5
Vardas5 Pavarde5 5 9 2 5 5 3 5 3 10 1
Vardas6 Pavarde6 10 4 10 3 1 2 9 2 1 4
Vardas7 Pavarde7 10 3 8 8 7 8 8 3 8 6
Vardas8 Pavarde8 2 6 8 10 5 3 7 3 10 4
Vardas9 Pavarde9 6 9 6 5 10 10 4 8 3 4
Vardas10 Pavarde10 10 6 9 2 2 5 1 10 10 6
Vardas11 Pavarde11 3 10 2 10 2 8 9 3 1 6
Vardas12 Pavarde12 2 9 6 8 6 6 7 4 10 7
Vardas13 Pavarde13 6 2 7 8 2 3 5 5 1 10
Vardas14 Pavarde14 6 8 7 4 2 8 7 3 4 1
Vardas15 Pavarde15 4 2 7 5 10 2 1 8 7 6
Vardas16 Pavarde16 4 10 10 2 7 5 8 1 10 3
Vardas17 Pavarde17 9 7 7 7 5 3 8 3 8 8
Vardas18 Pavarde18 8 2 10 4 7 5 2 4 1 9
Vardas19 Pavarde19 6 6 3 8 5 6 5 3 2 2
Vardas20 Pavarde20 2 1 4 6 1 3 8 1 8 10
Vardas21 Pavarde21 5 3 7 8 6 5 10 10 9 10
Vardas22 Pavarde22 1 10 1 1 2 6 6 8 2 7
Vardas23 Pavarde23 8 10 8 9 7 9 8 3 5 8
Vardas24 Pavarde24 7 4 9 10 8 8 8 8 9 3
Vardas25 Pavarde25 10 2 7 6 1 2 5 10 4 7
Vardas26 Pavarde26 10 8 3 9 6 3 3 10 3 6
Vardas27 Pavarde27 6 2 5 2 4 10 2 2 10 9
Vardas28 Pavarde28 1 5 6 3 3 3 7 4 10 10
Vardas29 Pavarde29 7 10 8 3 10 9 9 9 8 6
Vardas30 Pavarde30 5 9 6 8 6 10 5 6 9 10
Vardas31 Pavarde31 4 5 5 5 3 5 2 7 6 9
Vardas32 Pavarde32 9 5 6 8 9 8 8 7 1 8
Vardas33 Pavarde33 7 6 5 4 8 2 2 7 9 4
Vardas34 Pavarde34 2 9 6 10 10 8 6 7 1 9
Vardas35 Pavarde35 5 10 4 6 8 7 2 3 6 5
Vardas36 Pavarde36 1 9 10 2 1 5 10 7 1 8
Vardas37 Pavarde37 1 7 1 5 9 9 7 1 7 8
